"gene"	"qval"
"ENSG00000073578"	"ENSG00000073578"	2.30581584823598e-05
"ENSG00000173614"	"ENSG00000173614"	2.31929444649143e-05
"ENSG00000111237"	"ENSG00000111237"	2.34714394805889e-05
"ENSG00000153250"	"ENSG00000153250"	2.35664453623848e-05
"ENSG00000119446"	"ENSG00000119446"	2.37775431178965e-05
"ENSG00000179632"	"ENSG00000179632"	2.38356333419245e-05
"ENSG00000109381"	"ENSG00000109381"	2.38764606723321e-05
"ENSG00000170271"	"ENSG00000170271"	2.38855593891283e-05
"ENSG00000182957"	"ENSG00000182957"	2.39712541653188e-05
"ENSG00000141642"	"ENSG00000141642"	2.62153033325318e-05
"ENSG00000023734"	"ENSG00000023734"	2.63582181858035e-05
"ENSG00000108651"	"ENSG00000108651"	2.64876572434355e-05
"ENSG00000113407"	"ENSG00000113407"	2.77394064778883e-05
"ENSG00000147872"	"ENSG00000147872"	2.83871406201489e-05
"ENSG00000196267"	"ENSG00000196267"	2.86275303902552e-05
"ENSG00000134644"	"ENSG00000134644"	3.04232958142125e-05
"ENSG00000111913"	"ENSG00000111913"	3.04732236775014e-05
"ENSG00000103429"	"ENSG00000103429"	3.04944017834106e-05
"ENSG00000184110"	"ENSG00000184110"	3.0518245108472e-05
"ENSG00000175354"	"ENSG00000175354"	3.0525947006668e-05
"ENSG00000175274"	"ENSG00000175274"	3.11784583200703e-05
"ENSG00000113712"	"ENSG00000113712"	3.1629503533928e-05
"ENSG00000164548"	"ENSG00000164548"	3.18167558023451e-05
"ENSG00000168395"	"ENSG00000168395"	3.18456432120825e-05
"ENSG00000218739"	"ENSG00000218739"	3.22667051343941e-05
"ENSG00000140740"	"ENSG00000140740"	3.22886152298789e-05
"ENSG00000065882"	"ENSG00000065882"	3.23072522765977e-05
"ENSG00000115607"	"ENSG00000115607"	3.23483692124619e-05
"ENSG00000102265"	"ENSG00000102265"	3.26919990866918e-05
"ENSG00000008952"	"ENSG00000008952"	3.31540654188167e-05
"ENSG00000153914"	"ENSG00000153914"	3.31584596295468e-05
"ENSG00000113851"	"ENSG00000113851"	3.32357920051258e-05
"ENSG00000100242"	"ENSG00000100242"	3.33832538293176e-05
"ENSG00000105968"	"ENSG00000105968"	3.39357729191083e-05
"ENSG00000148634"	"ENSG00000148634"	3.45962101128564e-05
"ENSG00000169375"	"ENSG00000169375"	3.46016081261131e-05
"ENSG00000144028"	"ENSG00000144028"	3.47850555914928e-05
"ENSG00000180822"	"ENSG00000180822"	3.48240770950566e-05
"ENSG00000175387"	"ENSG00000175387"	3.58321257024161e-05
"ENSG00000102393"	"ENSG00000102393"	3.59026081592382e-05
"ENSG00000162511"	"ENSG00000162511"	3.75741146170777e-05
"ENSG00000213413"	"ENSG00000213413"	3.80536259856197e-05
"ENSG00000134759"	"ENSG00000134759"	3.86294411369218e-05
"ENSG00000141543"	"ENSG00000141543"	3.95289998083183e-05
"ENSG00000102409"	"ENSG00000102409"	3.95419495965756e-05
"ENSG00000154813"	"ENSG00000154813"	3.95689018418421e-05
"ENSG00000139842"	"ENSG00000139842"	4.0442295263288e-05
"ENSG00000162836"	"ENSG00000162836"	4.06176512107892e-05
"ENSG00000083457"	"ENSG00000083457"	4.06812286225613e-05
"ENSG00000163918"	"ENSG00000163918"	4.16980398535083e-05
"ENSG00000139163"	"ENSG00000139163"	4.28714335459949e-05
"ENSG00000135018"	"ENSG00000135018"	4.42569758543644e-05
"ENSG00000113460"	"ENSG00000113460"	4.43728929849022e-05
"ENSG00000107372"	"ENSG00000107372"	4.46639615005722e-05
"ENSG00000205981"	"ENSG00000205981"	4.55250775748583e-05
"ENSG00000211460"	"ENSG00000211460"	4.56835488492404e-05
"ENSG00000141506"	"ENSG00000141506"	4.82382538688253e-05
"ENSG00000101457"	"ENSG00000101457"	4.86327027487357e-05
"ENSG00000170631"	"ENSG00000170631"	5.03188013072577e-05
"ENSG00000114416"	"ENSG00000114416"	5.06666898712774e-05
"ENSG00000105821"	"ENSG00000105821"	5.09817974308574e-05
"ENSG00000095787"	"ENSG00000095787"	5.2195115283074e-05
"ENSG00000006607"	"ENSG00000006607"	5.30990486437683e-05
"ENSG00000163902"	"ENSG00000163902"	5.32358892632247e-05
"ENSG00000101608"	"ENSG00000101608"	5.32600992989791e-05
"ENSG00000089280"	"ENSG00000089280"	5.48113071890154e-05
"ENSG00000126858"	"ENSG00000126858"	5.70011293318478e-05
"ENSG00000124256"	"ENSG00000124256"	5.79308444603812e-05
"ENSG00000173559"	"ENSG00000173559"	5.8957515065373e-05
"ENSG00000132334"	"ENSG00000132334"	5.91583653945995e-05
"ENSG00000157303"	"ENSG00000157303"	6.00681422247565e-05
"ENSG00000007341"	"ENSG00000007341"	6.07440472917733e-05
"ENSG00000144566"	"ENSG00000144566"	6.16455995696697e-05
