"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000113303"	5.65848033373112	2.73930252109676	69.0712869331352	1.07387118014669e-08	2.42786064454862e-06
"ENSG00000143751"	1.09753763567925	4.26124093887057	68.7956795271547	1.11484253289368e-08	2.49693470100907e-06
"ENSG00000076053"	0.878599868134571	5.34298078881447	68.6198741633674	1.14185697969568e-08	2.53375949244509e-06
"ENSG00000273173"	-1.32430645434363	3.07825149762179	68.3850224422435	1.17905265137152e-08	2.58701832060298e-06
"ENSG00000171224"	-2.05417989692827	1.43304120394008	68.3030409292031	1.19234311188824e-08	2.58701832060298e-06
"ENSG00000162777"	-1.72304047006926	5.06152217610462	68.2669608784529	1.19824341158745e-08	2.58701832060298e-06
"ENSG00000118503"	1.87198774742809	6.62354502573934	68.1876857962376	1.21131855476326e-08	2.59189724686621e-06
"ENSG00000169155"	1.38982850328092	4.31809974478546	67.9561665365243	1.25039357401619e-08	2.65183026560159e-06
"ENSG00000144597"	1.3482316423252	4.85591920896272	67.5314841672302	1.32565329159224e-08	2.78677904675508e-06
"ENSG00000100664"	0.920871256161913	6.79268008342366	66.9848223339298	1.42981052173397e-08	2.97960079594388e-06
"ENSG00000161835"	2.31040939839918	2.17615890473945	66.4813420335122	1.53358567222543e-08	3.14380989820164e-06
"ENSG00000112394"	-2.010276626742	2.36610272559239	66.4754573876185	1.53484564193445e-08	3.14380989820164e-06
"ENSG00000090376"	1.68630159334528	5.33214462004978	66.4088399166369	1.54918739340451e-08	3.14629456635078e-06
"ENSG00000168769"	1.1301921629915	5.2950640261855	66.3133305774328	1.5700021035405e-08	3.16177314381076e-06
"ENSG00000115541"	-0.906792136099275	7.12915035185504	66.13554163923	1.60955684043725e-08	3.21441914008989e-06
"ENSG00000104312"	1.49368186340474	4.58867537622634	66.0148058198868	1.63703098552846e-08	3.22634820457263e-06
"ENSG00000165312"	1.80139897653814	6.0306993688396	65.9912259436603	1.64245558505262e-08	3.22634820457263e-06
"ENSG00000112137"	1.72218587099631	5.44720039057484	65.7619523541662	1.69622374338737e-08	3.29765677201219e-06
"ENSG00000106346"	1.35459291042148	5.28768270042774	65.6792404578717	1.71608481806225e-08	3.29765677201219e-06
"ENSG00000172349"	-1.02464469145601	6.11352861962168	65.6629008552968	1.72003795744429e-08	3.29765677201219e-06
"ENSG00000198851"	-1.27685888312605	7.86015617522288	65.4788205523546	1.76525922623245e-08	3.31945176871313e-06
"ENSG00000168615"	1.67985503502697	4.01114421256511	65.3366620940655	1.80106006990056e-08	3.31945176871313e-06
"ENSG00000113742"	1.18249816029143	5.88031848078793	65.3305085285614	1.80262736455081e-08	3.31945176871313e-06
"ENSG00000224114"	2.28404918734101	3.10231700083173	65.3232898389584	1.80446782001905e-08	3.31945176871313e-06
"ENSG00000133657"	1.62209063387913	4.25206638275705	65.3098549809905	1.80789853425715e-08	3.31945176871313e-06
"ENSG00000123610"	3.3463875680352	3.98498335412903	65.2578165876279	1.82125362394989e-08	3.31945176871313e-06
"ENSG00000135426"	-1.46461350554049	4.40592696920578	65.2302753964448	1.82836483818123e-08	3.31945176871313e-06
"ENSG00000006327"	3.07470422398789	1.41310057901894	64.9264310837728	1.90883888926343e-08	3.4394980436991e-06
"ENSG00000165030"	2.66101842649323	4.63436114489374	64.5566816719517	2.01196291846978e-08	3.5982605478454e-06
"ENSG00000137720"	-1.04093616120712	4.08412607643015	64.4330494327203	2.047773363782e-08	3.63517693800264e-06
"ENSG00000163660"	1.22892582927529	7.56029324288364	64.1602291842625	2.12925483769556e-08	3.7332747755927e-06
"ENSG00000078804"	2.42593902845138	1.92505554243547	64.1440684593129	2.13419004488295e-08	3.7332747755927e-06
"ENSG00000103966"	1.23456007599057	4.07111757596918	63.8862905363603	2.21460332572828e-08	3.79967304348799e-06
"ENSG00000126953"	-1.003697465762	2.71084503821987	63.8734748865158	2.21868558121387e-08	3.79967304348799e-06
"ENSG00000186854"	-2.05049442210011	4.64847833465686	63.8702533897043	2.2197130235273e-08	3.79967304348799e-06
"ENSG00000108179"	1.34816218975838	4.86104391350297	63.6299545518377	2.29781974099922e-08	3.90547873000329e-06
"ENSG00000009790"	-1.0639553013986	7.36707479093111	63.517005409811	2.33555333301752e-08	3.94165743843415e-06
"ENSG00000051596"	-1.35876330102759	3.95287197157603	63.3914382642348	2.37828908206838e-08	3.98571313648732e-06
"ENSG00000139722"	1.0883543910921	4.30757521607002	63.0325889580274	2.50514253795502e-08	4.16914867514529e-06
"ENSG00000222009"	1.78491392423627	4.66464825046716	62.8904362667829	2.55739725783619e-08	4.22676036441684e-06
"ENSG00000227507"	-1.64922151205941	5.1459687287363	62.6293866975493	2.65644836722571e-08	4.36039624113453e-06
"ENSG00000136026"	1.44130655886521	3.81757840986486	62.4908604255513	2.71068541686148e-08	4.41915483095819e-06
"ENSG00000060138"	1.36023160662453	5.018504553124	62.2969743382107	2.78861459750984e-08	4.47882216215436e-06
"ENSG00000172216"	2.07020371821124	5.28272338436028	62.2884805948876	2.7920833554278e-08	4.47882216215436e-06
"ENSG00000162813"	-1.26108804503085	4.07890247959237	62.2609659614306	2.80335207311977e-08	4.47882216215436e-06
"ENSG00000196083"	1.45410571884984	4.39732931303194	62.190921888476	2.83226107291056e-08	4.48307821219362e-06
"ENSG00000111875"	-1.34964867889324	4.11547455802534	62.1640680933788	2.84342953579566e-08	4.48307821219362e-06
"ENSG00000152270"	-1.36392653626308	4.48408132806391	62.0079796737938	2.90929511023181e-08	4.55694492266047e-06
"ENSG00000087074"	1.693868583125	7.93480272400983	61.773894558119	3.0111802976887e-08	4.68590492429283e-06
"ENSG00000117000"	1.09889314519775	3.7592358629911	61.5747323185827	3.10090056719181e-08	4.75433326152087e-06
"ENSG00000048162"	-1.0686409304319	4.26674361910171	61.5676006475831	3.10416636298365e-08	4.75433326152087e-06
